F_O2_entrada_kmol_h;m_biogas_entrada_kg_h;m_oxigenio_entrada_kg_h;m_agua_vapor_entrada_kg_h;P_entrada_biogas_bar;T_entrada_biogas_C;P_entrada_oxigenio_bar;T_entrada_oxigenio_C;P_entrada_agua_bar;T_entrada_agua_C;T_vapor_necessaria_C;Q_aquecedor_vapor_kW;W_bomba_agua_W;P_mistura_final_bar;T_mistura_final_alvo_C;W_compressao_biogas_total_kW
8,49666;701,022;271,001;834,23;15;48,98552168;15;25;1;25;861,877188;971,8984042;464,3935367;15;500;1,602467143
8,50079;701,363;271,133;834,636;15;48,98812439;15;25;1;25;861,8758203;972,3706435;464,619546;15;500;1,603241663
8,50298;701,544;271,203;834,851;15;48,98950028;15;25;1;25;861,8752892;972,6208281;464,7392308;15;500;1,603650611
8,51067;702,178;271,448;835,605;15;48,99436675;15;25;1;25;861,872985;973,4979725;465,1589624;15;500;1,605094329
8,51212;702,298;271,494;835,748;15;48,99528734;15;25;1;25;861,8723433;973,6642132;465,2385667;15;500;1,605366964
8,51896;702,862;271,712;836,419;15;48,99962515;15;25;1;25;861,870198;974,4447467;465,6120945;15;500;1,606649592
8,53092;703,848;272,094;837,593;15;49,00725927;15;25;1;25;861,8662421;975,8102719;466,2656289;15;500;1,608898862
8,53095;703,851;272,095;837,597;15;49,00728035;15;25;1;25;861,866017;975,8148063;466,2678556;15;500;1,608905058
8,53388;704,093;272,188;837,885;15;49,0091574;15;25;1;25;861,8649258;976,149722;466,4281775;15;500;1,609456536
8,53623;704,287;272,263;838,115;15;49,01065632;15;25;1;25;861,864519;976,4174485;466,5562123;15;500;1,609896481
8,54118;704,696;272,421;838,601;15;49,01382742;15;25;1;25;861,8631737;976,9828945;466,8267555;15;500;1,610825945
8,54583;705,079;272,569;839,058;15;49,01681366;15;25;1;25;861,8611367;977,5141674;467,0811552;15;500;1,611699646
8,54903;705,343;272,671;839,372;15;49,01887107;15;25;1;25;861,8601437;977,8794263;467,2559506;15;500;1,612300705
8,55171;705,564;272,757;839,635;15;49,02059101;15;25;1;25;861,8593979;978,1854075;467,4023557;15;500;1,612802622
8,55532;705,862;272,872;839,989;15;49,02290824;15;25;1;25;861,8584282;978,5972791;467,599418;15;500;1,613478044
8,55759;706,05;272,944;840,213;15;49,02437673;15;25;1;25;861,8574091;978,8576712;467,7241128;15;500;1,613905605
8,55934;706,193;273;840,384;15;49,02550555;15;25;1;25;861,8566627;979,0564702;467,8193039;15;500;1,614234023
8,55935;706,195;273,001;840,385;15;49,02550555;15;25;1;25;861,8572819;979,0579819;467,8198606;15;500;1,614234023
8,56199;706,412;273,085;840,644;15;49,02721084;15;25;1;25;861,8561256;979,3590721;467,964039;15;500;1,614729749
8,56347;706,535;273,132;840,79;15;49,02817081;15;25;1;25;861,8556615;979,5289035;468,0453133;15;500;1,615008596
8,56517;706,675;273,186;840,957;15;49,02928077;15;25;1;25;861,8549052;979,7230364;468,1382777;15;500;1,615330819
8,56596;706,74;273,211;841,034;15;49,0297933;15;25;1;25;861,8547585;979,8126599;468,1811416;15;500;1,615479538
8,56936;707,02;273,32;841,367;15;49,03197326;15;25;1;25;861,8539094;980,200132;468,3665138;15;500;1,616111593
8,57524;707,505;273,507;841,945;15;49,03580551;15;25;1;25;861,8514993;980,872155;468,6882709;15;500;1,617220795
8,58112;707,99;273,695;842,522;15;49,03962475;15;25;1;25;861,8497386;981,5433757;469,0094714;15;500;1,618323807
8,58224;708,083;273,731;842,633;15;49,04035522;15;25;1;25;861,8492436;981,6724134;469,0712621;15;500;1,618534495
8,587;708,476;273,882;843,1;15;49,04345237;15;25;1;25;861,8477286;982,21562;469,3312285;15;500;1,619426826
8,59288;708,961;274,07;843,677;15;49,04728837;15;25;1;25;861,845959;982,8868329;469,652429;15;500;1,620529852
