hours,Price,Price,,,,
741,76.95,88.35,,,,
742,67.735,64.045,,,,
743,65.73,66.515,,,,
744,66.165,61.195,,,,
745,64.305,57.355,,,,
746,66.105,57.495,,,,
747,71.015,63.42,,,,
748,77.99,69.995,,,,
749,92.91,84.35,,,,
750,113.665,108.185,,,,
751,134.945,131.73,,,,
752,135.485,106.435,,,,
753,126.9,96.11,,,,
754,121.355,90.155,,,,
755,112.23,85.115,,,,
756,105,79.525,,,,
757,116.32,86.39,,,,
758,125.445,94.66,,,,
759,125.64,107,,,,
760,145.395,140.12,,,,
761,148.06,146.345,,,,
762,132.72,112.015,,,,
763,118.835,95.845,,,,
764,113.44,100.17,,,,
765,106.03,90.905,,,,
766,89.86,84.16,,,,
767,87.21,73.89,,,,
768,81.47,74.955,,,,
769,77.275,71.785,,,,
770,72.395,71.48,,,,
771,67.77,73.77,,,,
772,72.075,77.525,,,,
773,84.86,91.555,,,,
774,112.515,109.435,,,,
775,131.465,129.87,,,,
776,126.4,132.205,,,,
777,110.35,125.445,,,,
778,94.085,121.19,,,,
779,97.445,110.875,,,,
780,96.88,107.65,,,,
781,103.54,112.57,,,,
782,108.85,115.545,,,,
783,114.95,123.64,,,,
784,136.235,133.32,,,,
785,147.185,141.545,,,,
786,131,124.705,,,,
787,120,110.08,,,,
788,125.5,106.77,,,,
789,103.525,96.65,,,,
790,103.925,80.57,,,,
791,101.105,79.89,,,,
792,101.49,73.035,,,,
793,79.79,65.725,,,,
794,69.25,52.05,,,,
795,69.13,46.69,,,,
796,71.345,50.21,,,,
797,78.045,59.855,,,,
798,96.37,91.775,,,,
799,105.55,110.115,,,,
800,118.655,117.035,,,,
801,115.055,102.95,,,,
802,107.205,85.51,,,,
803,99.92,90.5,,,,
804,90.635,89.55,,,,
805,88.31,92.955,,,,
806,93.16,97.355,,,,
807,102.97,100.24,,,,
808,118.845,125.7,,,,
809,145.08,150.2,,,,
810,137.98,138,,,,
811,120.165,119.575,,,,
812,110.615,122.05,,,,
813,101.895,97.655,,,,
814,88.315,96.505,,,,
815,94.71,97.515,,,,
816,86.665,96.06,,,,
817,77.73,65.79,,,,
818,65.665,62.61,,,,
819,57.95,63.64,,,,
820,56.615,65.645,,,,
821,57.08,69.805,,,,
822,59.99,80.355,,,,
823,60.99,88.035,,,,
824,69.675,98.665,,,,
825,74.27,102.055,,,,
826,66.87,91.53,,,,
827,60.705,84.315,,,,
828,52.88,69.22,,,,
829,58.905,74.045,,,,
830,73.465,86.645,,,,
831,83.165,98.28,,,,
832,105.53,116.895,,,,
833,128.65,134.985,,,,
834,128.115,125.43,,,,
835,112.815,110.74,,,,
836,104.28,106.51,,,,
837,102.755,101.06,,,,
838,89.58,85.805,,,,
839,73.315,74.275,,,,
840,71.915,70.605,,,,
841,72.77,74.33,,,,
842,71.175,65.415,,,,
843,70.09,57.99,,,,
844,75.29,57.44,,,,
845,108.45,77.695,,,,
846,142.825,100.29,,,,
847,159.995,108.35,,,,
848,139.665,95.275,,,,
849,120.14,81.87,,,,
850,104.215,75.98,,,,
851,82.3,68.21,,,,
852,87.525,73.095,,,,
853,94.74,78.905,,,,
854,102.695,85.52,,,,
855,123.4,95.065,,,,
856,142.575,116.885,,,,
857,155.525,134.52,,,,
858,142.74,132.715,,,,
859,128.085,120.995,,,,
860,113.195,106.79,,,,
861,104.27,105.905,,,,
862,100.705,95.795,,,,
863,90.59,90.23,,,,
864,85.16,85.965,,,,
865,75.155,77.72,,,,
866,72.17,73.555,,,,
867,72.355,71.605,,,,
868,81.765,84.51,,,,
869,110.27,112.835,,,,
870,133.625,134.935,,,,
871,151.18,150.795,,,,
872,139.575,143.965,,,,
873,127.74,136.09,,,,
874,101.13,120.02,,,,
875,94.235,97.35,,,,
876,92.77,94.745,,,,
877,101.895,99.67,,,,
878,117.855,106.75,,,,
879,127.34,123.25,,,,
880,151.13,139.47,,,,
881,172.43,156.38,,,,
882,161.945,150.135,,,,
883,135.015,128.605,,,,
884,125.4,114.55,,,,
885,115.225,104.805,,,,
886,108.185,103.65,,,,
887,100.605,93.445,,,,
888,99.975,93.46,,,,
889,99.95,95.105,,,,
890,104.475,100.17,,,,
891,103.485,101.3,,,,
892,107.35,104.52,,,,
893,125.795,123.22,,,,
894,142.62,143.315,,,,
895,155.545,154.53,,,,
896,136.45,144.375,,,,
897,104.94,125.13,,,,
898,97.33,102.21,,,,
899,95.305,99.285,,,,
900,94.34,99.7,,,,
901,94.81,107.655,,,,
902,105.345,128.555,,,,
903,124.905,141.505,,,,
904,151.815,170.95,,,,
905,164.125,190.7,,,,
906,131.66,169.66,,,,
907,121.5,148.515,,,,
908,123.58,135.87,,,,
909,124.805,126.175,,,,
910,114.53,121.14,,,,
911,103.905,116.87,,,,
912,101.025,114.175,,,,
913,100.175,111.075,,,,
914,96.56,108.3,,,,
915,91.2,106.33,,,,
916,98.1,110.405,,,,
917,114.315,128.875,,,,
918,136.165,150.565,,,,
919,156.95,174.05,,,,
920,124.685,144.185,,,,
921,111.51,113.01,,,,
922,100.675,102.775,,,,
923,104.72,99.81,,,,
924,105.3,100.2,,,,
925,109.455,98.78,,,,
926,122.225,104.695,,,,
927,120.925,116.795,,,,
928,125.225,130.595,,,,
929,141,138.225,,,,
930,121.505,117.25,,,,
931,113.785,111.285,,,,
932,109.47,119.3,,,,
933,101.755,120.71,,,,
934,95.22,105.745,,,,
935,91.68,97.235,,,,
936,85.83,90.505,,,,
937,84.195,87.675,,,,
938,82.485,83.295,,,,
939,82.945,78.505,,,,
940,87.47,84.685,,,,
941,102.385,99.725,,,,
942,124.63,115.77,,,,
943,134.945,124.94,,,,
944,116.82,102.415,,,,
945,105.41,96.91,,,,
946,103.125,89.705,,,,
947,91.865,94.99,,,,
948,91.7,94.39,,,,
949,91.55,102.135,,,,
950,101.955,117.955,,,,
951,105.19,123.71,,,,
952,127.57,132.87,,,,
953,128.195,146.145,,,,
954,107.13,124.305,,,,
955,95.915,115.27,,,,
956,85.06,109.58,,,,
957,87.455,103.8,,,,
958,85.47,99.87,,,,
959,91.85,93.05,,,,
960,91.99,91.79,,,,
961,91.32,92.82,,,,
962,91.335,93.63,,,,
963,88.18,94.5,,,,
964,84.28,97.94,,,,
965,95.445,111.4,,,,
966,101.08,130.21,,,,
967,113.9,139.85,,,,
968,115.16,123.095,,,,
969,102.75,108.7,,,,
970,100.51,104.53,,,,
971,101.4,93.84,,,,
972,94.36,93.21,,,,
973,104.765,91.975,,,,
974,110.585,102.81,,,,
975,113.075,106.525,,,,
976,121.875,126.275,,,,
977,148,137.85,,,,
978,136.25,108.08,,,,
979,123.67,92.845,,,,
980,107.38,82.45,,,,
981,112.375,88.605,,,,
982,101.16,82.16,,,,
983,114.13,94.7,,,,
984,104.6,89.6,,,,
985,92.35,85.42,,,,
986,87.34,82.555,,,,
987,85.265,79.23,,,,
988,87.325,74.495,,,,
989,92.6,88.19,,,,
990,105.85,95.165,,,,
991,110.2,110.55,,,,
992,111.515,108.02,,,,
993,106.98,99.25,,,,
994,102.765,98.03,,,,
995,97.115,99.32,,,,
996,91.69,92.69,,,,
